case_id,fixture_id,mutation_id,violation_class,treatment,ground_truth_model_conformant,ground_truth_processing_eligible,expected_rule,observed_rules,expected_rule_detected,accepted,observed_model_conformant,observed_processing_eligible
E01,F01,M01,K1,V1,False,,R01,R01,True,False,False,
E01,F01,M01,K1,V2,False,,R01,R01,True,False,False,
E02,F02,M01,K1,V1,False,,R01,R01,True,False,False,
E02,F02,M01,K1,V2,False,,R01,R01,True,False,False,
E03,F03,M01,K1,V1,False,,R01,R01,True,False,False,
E03,F03,M01,K1,V2,False,,R01,R01,True,False,False,
E04,F04,M01,K1,V1,False,,R01,R01,True,False,False,
E04,F04,M01,K1,V2,False,,R01,R01,True,False,False,
E05,F01,M02,K1,V1,False,,R02,R02,True,False,False,
E05,F01,M02,K1,V2,False,,R02,R02,True,False,False,
E06,F02,M02,K1,V1,False,,R02,R02,True,False,False,
E06,F02,M02,K1,V2,False,,R02,R02,True,False,False,
E07,F03,M02,K1,V1,False,,R02,R02,True,False,False,
E07,F03,M02,K1,V2,False,,R02,R02,True,False,False,
E08,F04,M02,K1,V1,False,,R02,R02,True,False,False,
E08,F04,M02,K1,V2,False,,R02,R02,True,False,False,
E09,F01,M03,K1,V1,False,,R04,R04,True,False,False,
E09,F01,M03,K1,V2,False,,R04,R04,True,False,False,
E10,F02,M03,K1,V1,False,,R04,R04,True,False,False,
E10,F02,M03,K1,V2,False,,R04,R04,True,False,False,
E11,F03,M03,K1,V1,False,,R04,R04,True,False,False,
E11,F03,M03,K1,V2,False,,R04,R04,True,False,False,
E12,F04,M03,K1,V1,False,,R04,R04,True,False,False,
E12,F04,M03,K1,V2,False,,R04,R04,True,False,False,
E13,F01,M04,K2,V1,False,,R03,R03,True,False,False,
E13,F01,M04,K2,V2,False,,R03,R03,True,False,False,
E14,F02,M04,K2,V1,False,,R03,R03,True,False,False,
E14,F02,M04,K2,V2,False,,R03,R03,True,False,False,
E15,F03,M04,K2,V1,False,,R03,R03,True,False,False,
E15,F03,M04,K2,V2,False,,R03,R03,True,False,False,
E16,F04,M04,K2,V1,False,,R03,R03,True,False,False,
E16,F04,M04,K2,V2,False,,R03,R03,True,False,False,
E17,F01,M05,K2,V1,False,,R04,R04,True,False,False,
E17,F01,M05,K2,V2,False,,R04,R04,True,False,False,
E18,F02,M05,K2,V1,False,,R04,R04,True,False,False,
E18,F02,M05,K2,V2,False,,R04,R04,True,False,False,
E19,F03,M05,K2,V1,False,,R04,R04,True,False,False,
E19,F03,M05,K2,V2,False,,R04,R04,True,False,False,
E20,F04,M05,K2,V1,False,,R04,R04,True,False,False,
E20,F04,M05,K2,V2,False,,R04,R04,True,False,False,
E21,F01,M06,K2,V1,False,,R05,R05,True,False,False,
E21,F01,M06,K2,V2,False,,R05,R05,True,False,False,
E22,F02,M06,K2,V1,False,,R05,R05,True,False,False,
E22,F02,M06,K2,V2,False,,R05,R05,True,False,False,
E23,F03,M06,K2,V1,False,,R05,R05,True,False,False,
E23,F03,M06,K2,V2,False,,R05,R05,True,False,False,
E24,F04,M06,K2,V1,False,,R05,R05,True,False,False,
E24,F04,M06,K2,V2,False,,R05,R05,True,False,False,
E25,F02,M07,K3,V1,False,,R06,R06,True,False,False,
E25,F02,M07,K3,V2,False,,R06,R06,True,False,False,
E26,F04,M07,K3,V1,False,,R06,R06,True,False,False,
E26,F04,M07,K3,V2,False,,R06,R06,True,False,False,
E27,F02,M08,K3,V1,False,,R07,R07,True,False,False,
E27,F02,M08,K3,V2,False,,R07,R07,True,False,False,
E28,F04,M08,K3,V1,False,,R07,R07,True,False,False,
E28,F04,M08,K3,V2,False,,R07,R07,True,False,False,
E29,F01,M09,K3,V1,False,,R08,R08,True,False,False,
E29,F01,M09,K3,V2,False,,R08,R08,True,False,False,
E30,F03,M09,K3,V1,False,,R08,R08,True,False,False,
E30,F03,M09,K3,V2,False,,R08,R08,True,False,False,
E31,F01,M10,K3,V1,False,,R08,R08,True,False,False,
E31,F01,M10,K3,V2,False,,R08,R08,True,False,False,
E32,F03,M10,K3,V1,False,,R08,R08,True,False,False,
E32,F03,M10,K3,V2,False,,R08,R08,True,False,False,
C01,F01,,,V1,True,True,,,,True,True,
C01,F01,,,V2,True,True,,,,True,True,True
C02,F02,,,V1,True,True,,,,True,True,
C02,F02,,,V2,True,True,,,,True,True,True
C03,F03,,,V1,True,True,,,,True,True,
C03,F03,,,V2,True,True,,,,True,True,True
C04,F04,,,V1,True,True,,,,True,True,
C04,F04,,,V2,True,True,,,,True,True,True
N01,F05,,K4,V1,True,False,,,,True,True,
N01,F05,,K4,V2,True,False,R09,R09,True,False,True,False
